id_phim,tenphim,trangthai,daodien,thoiluong,phude,namsx,quocgia,theloai,dophangiai,luotxem,rating,vote
112,Trò Chơi Đuổi Bắt W2,Hoàn thành,Tomoya Sugioka,23.0,Vietsub,2024,Nhật Bản,"Tình cảm, Chính kịch, Tâm lý",HD,710.0,8.0,1.0
113,Cô Giáo Thảo Mai,Hoàn thành,Artemio Abad,49.0,Vietsub,2024,Philippines,"Chính kịch, Phim 18+",FHD,670.0,8.0,1.0
114,Sự Quyến Rũ Chết Người,Hoàn thành,Adul Boonboot,47.0,Vietsub,2018,Thái Lan,"Tình cảm, Tâm lý",HD,14486.0,8.0,1.0
115,Thợ Săn Hoang Mạc,Hoàn thành,Heo Myung Haeng,145.0,Lồng Tiếng,2024,Hàn Quốc,"Tâm lý, Phiêu lưu, Hành động, Hình sự",HD,17535.0,10.0,2.0
116,Anh Hùng Nặng Vai,Hoàn thành,Dương Cẩm Tuyền,45.0,Lồng Tiếng,1996,Hồng Kông,"Phim bộ, Cổ trang",HD,295.0,8.0,1.0
117,Ám Sát Ông Vua Nhạc RocknRoll,Hoàn thành,Eddie O'Keefe,90.0,Vietsub,2016,Âu Mỹ,"Phim lẻ, Hình sự, Chính kịch, Lãng mạn",HD,240.0,8.0,1.0
118,Tiểu Nương Tử Nhà Tướng Quân,Hoàn thành,Qiang Wu,45.0,Thuyết Minh,2020,Trung Quốc,Tâm lý,HD,36226.0,10.0,1.0
119,Quân Cửu Linh,Hoàn thành,Tạ Trạch,45.0,Vietsub,2021,Trung Quốc,Cổ trang,HD,19631.0,8.0,1.0
120,Bí Mật Quốc Gia,Hoàn thành,"Hàn Bác Văn, Phan Cảnh Thừa",44.0,Lồng Tiếng,2017,Trung Quốc,"Tình cảm, Hình sự",HD,12397.0,8.0,1.0
121,Lớp Học Của Nữ Hoàng (Bản Nhật),Hoàn thành,Hitoshi Iwamoto,45.0,Vietsub,2005,Nhật Bản,"Phim bộ, Chính kịch",HD,359.0,8.0,1.0
122,Lọ Lem 2 Giờ Sáng,Hoàn thành,Seo Min Jung,50.0,Thuyết Minh,2024,Hàn Quốc,"Chính kịch, Tình cảm, Tâm lý, Gia đình",HD,6150.0,8.0,1.0
123,Chúng Ta Hãy Kết Hôn Nhé,Đang chiếu,Kim Sung Geun,30.0,VietSub,2024,Hàn Quốc,"Tình cảm, Chính kịch, Tâm lý, Gia đình",HD,933.0,8.0,1.0
125,Gã Hề Điên Loạn,Hoàn thành,Damien Leone,60.0,Vietsub,2017,Âu Mỹ,"Tâm lý, Kinh dị, Bí ẩn",HD,5639.0,8.0,1.0
126,Bỗng Dưng Trúng Mánh,Hoàn thành,Hwang Dong-seok,105.0,Vietsub,2023,Hàn Quốc,"Phim lẻ, Hành động, Hình sự, Chính kịch",HD,589.0,8.0,1.0
127,Venom: Kèo Cuối,Hoàn thành,Kelly Marcel,109.0,VietSub,2024,Âu Mỹ,"Hành động, Viễn tưởng, Phiêu lưu, Khoa học",HD,3142.0,8.0,1.0
128,Gia Đình Darim,Đang chiếu,Sung Joon Hae,70.0,Vietsub,2024,Hàn Quốc,"Hài hước, Gia đình, Tình cảm, Chính kịch, Tâm lý",HD,1813.0,8.0,1.0
129,Mỏng Manh Dễ Vỡ,Hoàn thành,Kim Ji Hoon,30.0,Vietsub,2024,Hàn Quốc,"Tình cảm, Gia đình, Học đường",HD,3036.0,8.0,1.0
130,Tiger Crane,Đang chiếu,Zhao Bingle,,Vietsub,2024,Trung Quốc,"Hành động, Viễn tưởng, Phiêu lưu, Khoa học, Hoạt hình",HD,344.0,8.0,1.0
131,Vụ không tặc 1993,Hoàn thành,Robert Peters,86.0,Vietsub,2024,Nigeria,Chính kịch,HD,150.0,8.0,1.0
132,Robot Hoang Dã,Hoàn thành,Chris Sanders,102.0,Vietsub,2024,Âu Mỹ,"Viễn tưởng, Khoa học, Gia đình, Hoạt hình",HD,935.0,8.0,1.0
133,Transformers Một,Hoàn thành,Josh Cooley,104.0,Lồng Tiếng,2024,Âu Mỹ,"Hành động, Viễn tưởng, Phiêu lưu, Khoa học, Gia đình, Hoạt hình",HD,1238.0,8.0,1.0
134,Bẫy,Hoàn thành,M. Night Shyamalan,105.0,Vietsub,2024,Âu Mỹ,Bí ẩn,HD,682.0,8.0,1.0
135,Mục Thần Ký,Đang chiếu,沈乐平,20.0,Vietsub,2024,Trung Quốc,"Hành động, Viễn tưởng, Phiêu lưu, Khoa học, Hoạt hình",HD,223.0,8.0,1.0
136,Hyeri Yêu Dấu (Gửi Hyeri của Tôi),Hoàn thành,"Jung Ji Hyun, Heo Seok Won",70.0,VietSub,2024,Hàn Quốc,"Tình cảm, Chính kịch, Tâm lý",HD,7785.0,8.0,1.0
137,Vẻ Đẹp Đích Thực,Hoàn thành,Kim Sang Hyub,45.0,VietSub,2021,Hàn Quốc,"Tình cảm, Hài hước",HD,298691.0,9.4,14.0
141,Hoa Lang,Hoàn thành,"Rick Yune, Richard Yun",59.0,Vietsub,2016,Hàn Quốc,Cổ trang,HD,11029.0,8.0,1.0
142,Hành Trang Làm Mẹ,Hoàn thành,Đang cập nhật,45.0,Thuyết Minh,2020,Đài Loan,"Gia đình, Chính kịch",FHD,135.0,8.0,1.0
143,Ai Là Kẻ Sát Nhân,Hoàn thành,"Han Cheol Soo, Kim Yong Min",45.0,VietSub,2023,Hàn Quốc,"Tình cảm, Tâm lý, Hành động, Bí ẩn",HD,43301.0,10.0,1.0
144,Quái Hiệp Âu Dương Đức,Hoàn thành,Lâm Thiêm Nhất,45.0,Lồng Tiếng,2011,Trung Quốc,"Hài hước, Chính kịch",HD,126.0,8.0,1.0
145,Tân Họa Bì,Hoàn thành,Dai Yi Lin,92.0,Vietsub,2022,Trung Quốc,"Tình cảm, Cổ trang, Tâm lý, Viễn tưởng",HD,2800.0,8.0,1.0
149,Người Tình Ánh Trăng,Hoàn thành,Đang cập nhật,,Vietsub,2016,Hàn Quốc,"Tình cảm, Cổ trang",FHD,104169.0,9.3,4.0
150,Quý Công Tử,Hoàn thành,Park Hoon-jung,118.0,Vietsub,2023,Hàn Quốc,"Hành động, Hài hước",HD,91447.0,8.2,5.0
151,Hình Nhân Liễu Gai,Hoàn thành,Robin Hardy,94.0,Vietsub,1973,Anh,Kinh dị,HD,473.0,8.0,1.0
155,Hạnh Phúc Đến Vạn Gia,Hoàn thành,"Zheng Xiao Long, Liu Xue Song",45.0,Thuyết Minh,2022,Trung Quốc,"Tình cảm, Tâm lý",HD,36982.0,8.0,1.0
156,Báo Thủ Seoul,Hoàn thành,An Jong Yeon,,Vietsub,2024,Hàn Quốc,Hài hước,HD,3370.0,8.0,1.0
157,Xuân Hoa Diễm,Hoàn thành,"Lu Cheng, Vicky Wong",,Vietsub,2024,Trung Quốc,"Hành động, Phiêu lưu, Chính kịch",HD,32259.0,7.6,11.0
158,Ma Đất Sét,Hoàn thành,Sôichi Umezawa,81.0,Vietsub,2018,Nhật Bản,"Phim lẻ, Kinh dị, Bí ẩn",HD,123.0,8.0,1.0
159,Qúy Cô Bọ Cạp,Hoàn thành,Bruce Del Castillo,96.0,Vietsub,2024,Âu Mỹ,"Hành động, Hình sự",FHD,140.0,8.0,1.0
160,Cuộc Tình Thay Phiên,Hoàn thành,Bobby Bonifacio,103.0,Vietsub,2024,Philippines,"Chính kịch, Tình cảm, Phim 18+",FHD,326.0,8.0,1.0
161,Đừng Buông Tay,Hoàn thành,Alexandre Aja,101.0,Vietsub,2024,Âu Mỹ,"Kinh dị, Chính kịch",FHD,321.0,8.0,1.0
