id_phim,tenphim,trangthai,daodien,thoiluong,phude,namsx,quocgia,theloai,dophangiai
143,Ai Là Kẻ Sát Nhân,Hoàn thành,"Han Cheol Soo, Kim Yong Min",45 phút/tập,VietSub,2023,Hàn Quốc,"Tình Cảm, Tâm Lý, Hành Động, Bí ẩn",HD
144,Quái Hiệp Âu Dương Đức,Hoàn thành,Lâm Thiêm Nhất,45 phút/tập,Lồng Tiếng,2011,Trung Quốc,"Hài Hước, Chính kịch",HD
145,Tân Họa Bì,Hoàn thành,Dai Yi Lin,92 Phút,Vietsub,2022,Trung Quốc,"Tình Cảm, Cổ Trang, Tâm Lý, Viễn Tưởng",HD
146,Hoạ bì,Hoàn thành,Liu Chun,1g 32ph,Vietsub,2022,Trung Quốc,"Cổ Trang, Bí ẩn",HD
149,Người Tình Ánh Trăng,Hoàn thành,Đang cập nhật,60 phút/ tập,Vietsub,2016,Hàn Quốc,"Tình Cảm, Cổ Trang",FHD
150,Quý Công Tử,Hoàn thành,Park Hoon-jung,118Phút,Vietsub,2023,Hàn Quốc,"Hành Động, Hài Hước",HD
151,Hình Nhân Liễu Gai,Hoàn thành,Robin Hardy,94 phút,Vietsub,1973,Anh,Kinh Dị,HD
152,Phượng Lệ Cửu Thiên,Hoàn thành,"Lưu Hải Ba, Shen Yang",47M40S,Vietsub,2020,Trung Quốc,"Tình Cảm, Cổ Trang, Tâm Lý, Viễn Tưởng",HD
153,Bông Hoa Ác Ma (Hoa Của Quỷ),Hoàn thành,Jin Zhe Kui,1H1M35S,VietSub,2020,Hàn Quốc,"Tình Cảm, Kinh Dị, Bí ẩn",HD
154,Tuổi Hai Mươi,Hoàn thành,Li Zhi,46M37S,Vietsub,2020,Trung Quốc,"Tình Cảm, Hài Hước, Chính kịch, Tâm Lý, Gia Đình",HD
155,Hạnh Phúc Đến Vạn Gia,Hoàn thành,"Zheng Xiao Long, Liu Xue Song",45 phút/tập,Thuyết Minh,2022,Trung Quốc,"Tình Cảm, Tâm Lý",HD
156,Báo Thủ Seoul,Hoàn thành,An Jong Yeon,24 phút/ tập,Vietsub,2024,Hàn Quốc,Hài Hước,HD
157,Xuân Hoa Diễm,Hoàn thành,"Lu Cheng, Vicky Wong",45 phút/ tập,Vietsub,2024,Trung Quốc,"Hành Động, Phiêu Lưu, Chính kịch",HD
158,Ma Đất Sét,Hoàn thành,Sôichi Umezawa,81 phút,Vietsub,2018,Nhật Bản,"Phim lẻ, Kinh Dị, Bí ẩn",HD
159,Qúy Cô Bọ Cạp,Hoàn thành,Bruce Del Castillo,96 phút,Vietsub,2024,Âu Mỹ,"Hành Động, Hình Sự",FHD
160,Cuộc Tình Thay Phiên,Hoàn thành,Bobby Bonifacio,103 phút,Vietsub,2024,Philippines,"Chính kịch, Tình Cảm, Phim 18+",FHD
161,Đừng Buông Tay,Hoàn thành,Alexandre Aja,101 phút,Vietsub,2024,Âu Mỹ,"Kinh Dị, Chính kịch",FHD
162,Cuộc Tình Tay Ba,Hoàn thành,Iar Arondaing,48 phút,Vietsub,2024,Philippines,"Chính kịch, Tình Cảm, Phim 18+",FHD
163,Thiên Tài Bất Hảo,Hoàn thành,J.C. Lee,96 phút,Vietsub,2024,Canada,"Chính kịch, Tâm Lý",FHD
164,Luật Rừng Cuối Tuần,Hoàn thành,Vivek Athreya,172 phút,Vietsub,2024,Ấn Độ,"Hành Động, Tâm Lý",FHD
165,Mật Mã Phù Thủy (Phần 1),Hoàn thành,"Alice Troughton, Juan Carlos Medina, Sarah Walker",45 phút/tập,Vietsub,2018,Âu Mỹ,"Hành Động, Tâm Lý, Viễn Tưởng, Phiêu Lưu, Khoa Học",HD
166,Mật Mã Phù Thủy (Phần 2),Hoàn thành,"Alice Troughton, Juan Carlos Medina, Sarah Walker",45 phút/tập,Vietsub,2021,Âu Mỹ,"Hành Động, Tâm Lý, Viễn Tưởng, Phiêu Lưu, Khoa Học",HD
167,Mật Mã Phù Thủy (Phần 3),Hoàn thành,"Alice Troughton, Juan Carlos Medina, Sarah Walker",46 phút/tập,Vietsub,2022,Âu Mỹ,"Hành Động, Tâm Lý, Viễn Tưởng, Phiêu Lưu, Khoa Học",HD
