id_phim,tenphim,trangthai,daodien,thoiluong,phude,namsx,quocgia,theloai,dophangiai,luotxem,rating,vote
121,Lớp Học Của Nữ Hoàng (Bản Nhật),Hoàn thành,Hitoshi Iwamoto,45 Phút/Tập,Vietsub,2005,Nhật Bản,"Phim bộ, Chính kịch",HD,359.0,8.0,1.0
122,Lọ Lem 2 Giờ Sáng,Hoàn thành,Seo Min Jung,50 phút/tập,Thuyết Minh,2024,Hàn Quốc,"Chính kịch, Tình Cảm, Tâm Lý, Gia Đình",HD,6150.0,8.0,1.0
123,Chúng Ta Hãy Kết Hôn Nhé,Đang chiếu,Kim Sung Geun,30 phút/tập,VietSub,2024,Hàn Quốc,"Tình Cảm, Chính kịch, Tâm Lý, Gia Đình",HD,933.0,8.0,1.0
125,Gã Hề Điên Loạn,Hoàn thành,Damien Leone,60 Phút/Tập,Vietsub,2017,Âu Mỹ,"Tâm Lý, Kinh Dị, Bí ẩn",HD,5639.0,8.0,1.0
126,Bỗng Dưng Trúng Mánh,Hoàn thành,Hwang Dong-seok,105 phút,Vietsub,2023,Hàn Quốc,"Phim lẻ, Hành Động, Hình Sự, Chính kịch",HD,589.0,8.0,1.0
127,Venom: Kèo Cuối,Hoàn thành,Kelly Marcel,109 Phút,VietSub,2024,Âu Mỹ,"Hành Động, Viễn Tưởng, Phiêu Lưu, Khoa Học",HD,3142.0,8.0,1.0
128,Gia Đình Darim,Đang chiếu,Sung Joon Hae,70 phút/tập,Vietsub,2024,Hàn Quốc,"Hài Hước, Gia Đình, Tình Cảm, Chính kịch, Tâm Lý",HD,1813.0,8.0,1.0
129,Mỏng Manh Dễ Vỡ,Hoàn thành,Kim Ji Hoon,30 phút/tập,Vietsub,2024,Hàn Quốc,"Tình Cảm, Gia Đình, Học Đường",HD,3036.0,8.0,1.0
130,Tiger Crane,Đang chiếu,Zhao Bingle,null phút/tập,Vietsub,2024,Trung Quốc,"Hành Động, Viễn Tưởng, Phiêu Lưu, Khoa Học, Hoạt Hình",HD,344.0,8.0,1.0
131,Vụ không tặc 1993,Hoàn thành,Robert Peters,86 Phút,Vietsub,2024,Nigeria,Chính kịch,HD,150.0,8.0,1.0
132,Robot Hoang Dã,Hoàn thành,Chris Sanders,102 Phút,Vietsub,2024,Âu Mỹ,"Viễn Tưởng, Khoa Học, Gia Đình, Hoạt Hình",HD,935.0,8.0,1.0
133,Transformers Một,Hoàn thành,Josh Cooley,104 Phút,Lồng Tiếng,2024,Âu Mỹ,"Hành Động, Viễn Tưởng, Phiêu Lưu, Khoa Học, Gia Đình, Hoạt Hình",HD,1238.0,8.0,1.0
134,Bẫy,Hoàn thành,M. Night Shyamalan,105phút,Vietsub,2024,Âu Mỹ,Bí ẩn,HD,682.0,8.0,1.0
135,Mục Thần Ký,Đang chiếu,沈乐平,20 phút/tập,Vietsub,2024,Trung Quốc,"Hành Động, Viễn Tưởng, Phiêu Lưu, Khoa Học, Hoạt Hình",HD,223.0,8.0,1.0
136,Hyeri Yêu Dấu (Gửi Hyeri của Tôi),Hoàn thành,"Jung Ji Hyun, Heo Seok Won",70 phút/tập,VietSub,2024,Hàn Quốc,"Tình Cảm, Chính kịch, Tâm Lý",HD,7785.0,8.0,1.0
137,Vẻ Đẹp Đích Thực,Hoàn thành,Kim Sang Hyub,45 phút/tập,VietSub,2021,Hàn Quốc,"Tình Cảm, Hài Hước",HD,298691.0,9.4,14.0
141,Hoa Lang,Hoàn thành,"Rick Yune, Richard Yun",59 phút/tập,Vietsub,2016,Hàn Quốc,Cổ Trang,HD,11029.0,8.0,1.0
142,Hành Trang Làm Mẹ,Hoàn thành,Đang cập nhật,45 phút/tập,Thuyết Minh,2020,Đài Loan,"Gia Đình, Chính kịch",FHD,135.0,8.0,1.0
143,Ai Là Kẻ Sát Nhân,Hoàn thành,"Han Cheol Soo, Kim Yong Min",45 phút/tập,VietSub,2023,Hàn Quốc,"Tình Cảm, Tâm Lý, Hành Động, Bí ẩn",HD,43301.0,10.0,1.0
144,Quái Hiệp Âu Dương Đức,Hoàn thành,Lâm Thiêm Nhất,45 phút/tập,Lồng Tiếng,2011,Trung Quốc,"Hài Hước, Chính kịch",HD,126.0,8.0,1.0
145,Tân Họa Bì,Hoàn thành,Dai Yi Lin,92 Phút,Vietsub,2022,Trung Quốc,"Tình Cảm, Cổ Trang, Tâm Lý, Viễn Tưởng",HD,2800.0,8.0,1.0
149,Người Tình Ánh Trăng,Hoàn thành,Đang cập nhật,60 phút/ tập,Vietsub,2016,Hàn Quốc,"Tình Cảm, Cổ Trang",FHD,104169.0,9.3,4.0
150,Quý Công Tử,Hoàn thành,Park Hoon-jung,118Phút,Vietsub,2023,Hàn Quốc,"Hành Động, Hài Hước",HD,91447.0,8.2,5.0
151,Hình Nhân Liễu Gai,Hoàn thành,Robin Hardy,94 phút,Vietsub,1973,Anh,Kinh Dị,HD,473.0,8.0,1.0
155,Hạnh Phúc Đến Vạn Gia,Hoàn thành,"Zheng Xiao Long, Liu Xue Song",45 phút/tập,Thuyết Minh,2022,Trung Quốc,"Tình Cảm, Tâm Lý",HD,36982.0,8.0,1.0
156,Báo Thủ Seoul,Hoàn thành,An Jong Yeon,24 phút/ tập,Vietsub,2024,Hàn Quốc,Hài Hước,HD,3370.0,8.0,1.0
157,Xuân Hoa Diễm,Hoàn thành,"Lu Cheng, Vicky Wong",45 phút/ tập,Vietsub,2024,Trung Quốc,"Hành Động, Phiêu Lưu, Chính kịch",HD,32259.0,7.6,11.0
158,Ma Đất Sét,Hoàn thành,Sôichi Umezawa,81 phút,Vietsub,2018,Nhật Bản,"Phim lẻ, Kinh Dị, Bí ẩn",HD,123.0,8.0,1.0
159,Qúy Cô Bọ Cạp,Hoàn thành,Bruce Del Castillo,96 phút,Vietsub,2024,Âu Mỹ,"Hành Động, Hình Sự",FHD,140.0,8.0,1.0
160,Cuộc Tình Thay Phiên,Hoàn thành,Bobby Bonifacio,103 phút,Vietsub,2024,Philippines,"Chính kịch, Tình Cảm, Phim 18+",FHD,326.0,8.0,1.0
161,Đừng Buông Tay,Hoàn thành,Alexandre Aja,101 phút,Vietsub,2024,Âu Mỹ,"Kinh Dị, Chính kịch",FHD,321.0,8.0,1.0
162,Cuộc Tình Tay Ba,Hoàn thành,Iar Arondaing,48 phút,Vietsub,2024,Philippines,"Chính kịch, Tình Cảm, Phim 18+",FHD,312.0,8.0,1.0
163,Thiên Tài Bất Hảo,Hoàn thành,J.C. Lee,96 phút,Vietsub,2024,Canada,"Chính kịch, Tâm Lý",FHD,150.0,8.0,1.0
164,Luật Rừng Cuối Tuần,Hoàn thành,Vivek Athreya,172 phút,Vietsub,2024,Ấn Độ,"Hành Động, Tâm Lý",FHD,121.0,8.0,1.0
165,Mật Mã Phù Thủy (Phần 1),Hoàn thành,"Alice Troughton, Juan Carlos Medina, Sarah Walker",45 phút/tập,Vietsub,2018,Âu Mỹ,"Hành Động, Tâm Lý, Viễn Tưởng, Phiêu Lưu, Khoa Học",HD,10704.0,8.0,1.0
166,Mật Mã Phù Thủy (Phần 2),Hoàn thành,"Alice Troughton, Juan Carlos Medina, Sarah Walker",45 phút/tập,Vietsub,2021,Âu Mỹ,"Hành Động, Tâm Lý, Viễn Tưởng, Phiêu Lưu, Khoa Học",HD,9991.0,8.0,1.0
167,Mật Mã Phù Thủy (Phần 3),Hoàn thành,"Alice Troughton, Juan Carlos Medina, Sarah Walker",46 phút/tập,Vietsub,2022,Âu Mỹ,"Hành Động, Tâm Lý, Viễn Tưởng, Phiêu Lưu, Khoa Học",HD,8434.0,8.0,1.0
169,Bùa Yêu Trong Vũng Ngò Ôm,Hoàn thành,Off Pongpat Wachirabunjong,45 phút/tập,Vietsub,2021,Thái Lan,"Tình Cảm, Hài Hước",HD,13438.0,10.0,1.0
170,Bùa Yêu (Bản Thái),Hoàn thành,Koo Ekkasit Trakulkasemsuk,44 phút/tập,Lồng Tiếng,2020,Thái Lan,Tình Cảm,HD,17435.0,8.0,1.0
